id	filename	md5	size	state
21aa61c3-74f8-4f5d-8d67-5ae606932bad	unc.edu.a771088e-45e1-4e67-8e3e-88c65d0b0618.1753233.bt.exon_quantification.txt	16848e252d883c58b96a6871c6d26382	12956950	live
21ecbb04-96df-4dda-af95-b0fcaa6e4600	unc.edu.bac074d2-4e5b-4450-baee-749fc4a93c7a.2519734.bt.exon_quantification.txt	7ab08b2045fe48f3c6b8219f0bcdeecf	12764168	live
2268a796-359e-4008-8a12-160c048dd460	unc.edu.ecbb33ff-c485-485f-a169-6bb7c1c84baf.2392088.bt.exon_quantification.txt	1dd07100dfc66cb3bd5a58318b005e8d	12788382	live
22c54d06-642c-4150-ada9-c512f673c961	unc.edu.97ce2468-dfb0-41c5-903c-577728feff95.2173127.bt.exon_quantification.txt	2f6a848e1bf2a0b67a97dffe7a886531	12458866	live
231cdff5-4dd7-4fb9-b88c-22b90b52ac86	unc.edu.b02ac966-c160-4310-a80d-98fdc6134074.1756593.bt.exon_quantification.txt	8e3711be757d6b0553122f681919cd42	12826790	live
2334cc52-2a42-4b00-8638-fe7440bb4f8f	unc.edu.db968587-1271-4b4a-8195-f17a06085ae5.1969535.bt.exon_quantification.txt	9bf70dfd90295011120ab86d1458d612	12715972	live
23e24fe1-c5fb-4935-827f-1f5c9da6652f	unc.edu.07384291-d5cc-44d8-a025-f10636c91691.1898072.bt.exon_quantification.txt	2d1435d303e552c6ef0906fe14975830	12742344	live
2479c026-0087-4cbd-b211-7ddd369441ef	unc.edu.59a3d245-6921-4799-9eb7-1bff6021680f.1749959.bt.exon_quantification.txt	0e6e2800d939df31bc0982a435e4a3a4	12938959	live
248dd399-06e3-4b53-976a-111502eef390	unc.edu.54ad372c-0c62-42b9-86c4-91cd0e148af2.1754881.bt.exon_quantification.txt	72bf5e3335a021663a898da8dba45a58	12638427	live
24e857c1-7716-4ff7-9751-cda252581986	unc.edu.da936a2e-af10-4496-8fa7-00742c30c766.1988110.bt.exon_quantification.txt	eaef0f8c207dff0c677b1065ae911296	12877083	live
25321f7d-03e4-46f8-ac7a-7e577631cdeb	unc.edu.e67b3b01-fdd5-49de-8829-84298c131a5f.1760123.bt.exon_quantification.txt	8da22251abbb8f8ad182d31ca5e9166d	12862177	live
25a2b137-4313-4b74-87f0-96fc00fda9c4	unc.edu.1b57a251-d1ee-4635-b3f8-8109ddbabf7d.2172371.bt.exon_quantification.txt	d80965f353aa150b3e81593674841868	11951724	live
2630d1f8-c7ca-4a80-9a82-3b6036463c19	unc.edu.39c01e87-6cb4-47f5-9ecd-be16781ef1f2.2604041.bt.exon_quantification.txt	05921612931751554e19e28285ce3358	12404829	live
